Time,Lat,Long,Alt,Throttle,Rudder,Ailerons,Airspeed-kt,Vert-Speed-FPS
1,42.29543423,-70.91265223,1216.402235,0.2,1.525902189e-05,-0.0004714799206,0,-0
2,42.295749,-70.9130689,1222.144586,0.2,1.525902189e-05,-6.968600994e-06,100.8046805,11.90730901
3.00833,42.29633155,-70.91382754,1264.99317,0.2,1.525902189e-05,-6.968600994e-06,90.07490426,27.44745059
4.00833,42.29659627,-70.91416332,1293.699526,0.2,1.525902189e-05,-6.968600994e-06,83.83790167,28.62656086
5,42.29684163,-70.91446798,1321.371621,0.2,1.525902189e-05,-6.968600994e-06,77.99914261,26.15557563
6.46667,42.2969889,-70.91464737,1337.305871,0.8,1.525902189e-05,4.629047291e-06,74.53797448,24.34446362
7.05,42.29726579,-70.91497668,1366.163503,0.8,1.525902189e-05,-4.305169982e-07,67.43353362,21.32477947
8,42.29749512,-70.91524114,1387.425213,0.8,1.525902189e-05,-1.762348923e-06,61.63732254,13.64117741
9,42.29768362,-70.91545325,1399.047346,0.8,1.525902189e-05,-1.762348923e-06,57.42054845,9.385546971
10,42.29786791,-70.91565659,1405.893226,0.8,1.525902189e-05,-2.137660306e-05,55.66604655,3.869741056
11.0167,42.29805322,-70.91586184,1407.039658,0.8,1.525902189e-05,-2.137660306e-05,56.04612284,-2.206515254
12,42.29823904,-70.91607589,1401.772627,0.8,1.525902189e-05,-2.137660306e-05,57.85034163,-8.922891534
13,42.29842762,-70.916309,1389.566128,0.8,1.525902189e-05,-6.968600994e-06,60.96353627,-15.9743168
14.0167,42.29861995,-70.91657203,1372.214595,0.8,0.1211108565,0.001560693093,64.60284427,-18.80396564
15.0083,42.29880781,-70.91686016,1351.624646,0.8,1.525902189e-05,5.297734361e-05,68.63194657,-23.2246495
16,42.29900021,-70.91719031,1326.719386,0.8,0.1523613334,5.297734361e-05,72.98124549,-26.45999771
17.0083,42.29919453,-70.9175536,1299.705472,0.8,1.525902189e-05,0.02407741709,77.06866053,-26.90653466
18.0083,42.29939017,-70.91794595,1274.683947,0.8,0.3359578848,0.00405073411,80.62682893,-23.70559745
19,42.29958039,-70.91836683,1251.283426,0.8,0.5976501107,0.003686390067,83.59087558,-22.95210326
20.0083,42.29978403,-70.91880862,1230.832887,0.8,0.515617609,0.004729644767,85.28823322,-18.19936185
21,42.30000766,-70.91924197,1214.559415,0.8,1.525902189e-05,8.317197237e-06,87.1221469,-14.86682317
22.0167,42.30026159,-70.9196753,1202.069272,0.8,0.304707408,-2.771351554e-05,88.57811248,-10.48963166
23.0167,42.30053791,-70.92009946,1194.126849,0.8,1.525902189e-05,0.0008133397844,89.44145144,-5.841071403
24.0083,42.30083018,-70.92050153,1191.112122,0.8,1.525902189e-05,3.379896321e-05,89.70085504,-0.8732777911
25.0083,42.3011421,-70.92089447,1193.244697,0.8,1.525902189e-05,3.379896321e-05,89.33966736,4.268268204
26.0083,42.30146088,-70.92126762,1200.470845,0.8,1.525902189e-05,0.0001042090911,88.1674143,9.631647888
27.0083,42.30177925,-70.92162879,1207.561254,0.8,1.525902189e-05,5.297734361e-05,87.48130931,6.023076387
28.0167,42.30210942,-70.92198567,1212.674341,0.8,1.525902189e-05,0.0002132442129,87.05617442,4.895007887
29.0167,42.30244125,-70.9223325,1217.669682,0.8,1.525902189e-05,0.0002132442129,86.67040042,3.904931737
30.0083,42.30277398,-70.92267251,1221.325193,0.8,1.525902189e-05,0.0002132442129,86.52042406,2.820871674
31.0083,42.30311301,-70.92301179,1225.357945,0.8,1.525902189e-05,-0.0001734103437,86.19700279,4.902789918
32.0083,42.30345047,-70.92334586,1231.017935,0.8,1.525902189e-05,-2.328377491e-10,85.82836654,4.852437571
33.0167,42.30379741,-70.92368844,1235.427103,0.8,1.525902189e-05,4.629047291e-06,85.83236313,3.048455236
34.15,42.30411401,-70.92400212,1237.92449,0.8,1.525902189e-05,-1.076292495e-05,86.02611635,1.532478858
35.0083,42.30447919,-70.92436807,1241.011123,0.8,1.525902189e-05,4.285169524e-05,86.14299842,4.464987448
36.0167,42.30482212,-70.92471867,1245.947196,0.8,1.525902189e-05,0.0003892695856,86.26539177,3.353279749
37.0083,42.30515757,-70.92507004,1248.58106,0.8,1.525902189e-05,0.003597986229,86.69302416,1.200544411
38.0167,42.3054959,-70.92543565,1251.292951,0.8,1.525902189e-05,0.003427969909,86.89208913,3.875736182
39.0083,42.30582361,-70.92580345,1256.069717,0.8,1.525902189e-05,0.003510655307,86.81421233,4.917007703
