Time,Lat,Long,Alt,Throttle,Rudder,Ailerons,Airspeed-kt,Vert-Speed-FPS
1,42.29543423,-70.91265223,1216.402311,0.2,1.525902189e-05,0.0003073926537,0,-0
2,42.295749,-70.91306888,1222.157544,0.2,1.525902189e-05,0.0004808027646,100.8017145,11.93856947
3.00833,42.29633164,-70.91382735,1265.016953,0.2,1.525902189e-05,0.0002351719404,90.07181083,27.45506917
4.00833,42.29659646,-70.91416288,1293.760584,0.2,1.525902189e-05,0.0003609043586,83.8285326,28.67417645
5,42.29684196,-70.91446718,1321.484803,0.2,1.525902189e-05,0.0003609043586,77.9821453,26.21087316
6,42.29707529,-70.91474948,1346.138126,0.8,1.525902189e-05,0.0003609043586,72.57768837,22.26716279
7.25,42.29726511,-70.91497399,1363.701789,0.8,1.525902189e-05,0.0009890298405,68.26253272,18.02747103
8.00833,42.29749595,-70.91524117,1380.334493,0.8,1.525902189e-05,0.0005819921908,63.5255305,11.48395229
9.01667,42.29769773,-70.91547043,1388.667713,0.8,1.525902189e-05,0.0008556529239,60.33670287,4.275425346
10,42.29789896,-70.91569684,1389.375031,0.8,1.525902189e-05,0.0006548163899,60.05554964,-3.192286292
11.0083,42.29810046,-70.91592635,1383.311496,0.8,1.525902189e-05,0.0008556529239,61.9413938,-9.155214592
12.0417,42.29830007,-70.91616417,1372.308746,0.8,0.4218966961,0.0006548163899,64.68065525,-13.77937457
13.0083,42.29851357,-70.916433,1356.694702,0.8,1.525902189e-05,0.0008556529239,67.70210497,-16.93975319
14,42.2987346,-70.91671265,1339.06999,0.8,1.525902189e-05,0.0006548163899,71.00882906,-18.89331479
15,42.2989625,-70.91701054,1319.735007,0.8,1.525902189e-05,0.0006548163899,74.42333925,-20.63564538
16.0083,42.29920125,-70.91734298,1298.21952,0.8,1.525902189e-05,0.0008556529239,78.03518732,-22.16655987
17.0167,42.2994385,-70.91769391,1276.146777,0.8,1.525902189e-05,0.0008556529239,81.25967025,-22.57469399
18.0083,42.29968648,-70.91807331,1254.411358,0.8,1.525902189e-05,-0.001360212268,84.22160859,-19.77802325
19,42.29993159,-70.91847146,1239.050843,0.8,1.525902189e-05,0.0001042090911,86.1585907,-14.30176783
20,42.30017512,-70.91889569,1227.179698,0.8,1.525902189e-05,-0.0001915437479,87.55613599,-10.14075795
21,42.30041924,-70.91933684,1219.950107,0.8,0.2968947887,-0.0001405708959,88.12145638,-4.789491151
22.0083,42.30066268,-70.91977904,1218.074061,0.8,1.525902189e-05,-0.0004714799206,88.01589417,0.5161655192
23.0083,42.30090936,-70.92022034,1219.853951,0.8,0.3281452656,0.0001538985284,87.86217011,2.096647672
24.0083,42.30114877,-70.92065162,1223.875887,0.8,1.525902189e-05,4.71496442e-07,87.09008627,5.645761032
25.0083,42.30140581,-70.92109597,1230.693727,0.8,1.525902189e-05,-9.746798193e-05,86.28657832,6.663762477
