Time,Lat,Long,Alt,Throttle,Rudder,Ailerons,Airspeed-kt,Vert-Speed-FPS
1,42.29543423,-70.91265223,1216.402373,0.2,1.525902189e-05,0.001447098073,0,-0
2,42.29574903,-70.91306889,1222.122071,0.2,1.525902189e-05,0.001284752415,100.8093029,11.85271054
3,42.29604905,-70.91346175,1239.538704,0.2,1.525902189e-05,0.001284752415,95.8600922,21.67524211
4.00833,42.29659761,-70.91416315,1293.076102,0.2,1.525902189e-05,-0.01948097808,83.92528215,28.38495933
5,42.29684392,-70.91446768,1320.521569,0.2,1.525902189e-05,-0.001407895681,78.11165475,25.93551577
6.35833,42.29697064,-70.91462144,1333.962286,0.8,1.525902189e-05,-0.003356870357,75.29374592,22.61141166
7.00833,42.29729809,-70.91500976,1361.710066,0.8,1.525902189e-05,0.00395803908,68.0432117,17.55480425
8,42.29751101,-70.91525322,1378.931304,0.8,1.525902189e-05,0.002057989829,63.168101,15.88357021
9.00833,42.29771172,-70.91547716,1392.14138,0.8,1.525902189e-05,-2.137660306e-05,60.85489518,10.02964688
10.0083,42.29791101,-70.91569882,1398.185769,0.8,1.525902189e-05,5.297734361e-05,60.6299169,0.733165276
11.0083,42.29811135,-70.91592709,1397.422205,0.8,1.525902189e-05,-2.137660306e-05,61.20890092,-1.647192027
12.0083,42.29831043,-70.91616606,1395.537308,0.8,1.525902189e-05,-2.137660306e-05,61.82971271,-2.583697353
13,42.2985043,-70.91641705,1392.894793,0.8,1.525902189e-05,-2.137660306e-05,62.50965611,-3.180522046
14.0083,42.29869599,-70.91668781,1389.901211,0.8,1.525902189e-05,-2.328377491e-10,63.04575318,-3.005767323
15,42.29888007,-70.91696595,1387.587754,0.8,0.2070496678,-1.076292495e-05,63.31767106,-1.986855913
16,42.29906375,-70.91725311,1386.484447,0.8,1.525902189e-05,-2.328377491e-10,63.33915778,-0.6791740371
17,42.2992493,-70.91754056,1386.710294,0.8,0.3281452656,-1.076292495e-05,63.08476942,0.6380598802
18.0167,42.2994414,-70.91782635,1387.953981,0.8,0.09767299891,-1.762348923e-06,62.84077457,1.275381195
19.0083,42.29963652,-70.9181017,1389.623297,0.8,0.1523613334,-1.762348923e-06,62.60701216,1.557465874
20,42.29983939,-70.9183737,1391.418698,0.8,0.1289234757,-4.305169982e-07,62.3859135,1.503363269
21.0083,42.30005068,-70.91864107,1393.106075,0.8,1.525902189e-05,1.89122482e-05,62.1583856,1.317107344
22.0083,42.30026731,-70.91889916,1394.603513,0.8,0.04298466444,-0.0003160132389,62.05809682,1.149784472
23.0167,42.30048905,-70.91915778,1395.926892,0.8,1.525902189e-05,-0.0001734103437,61.99112262,0.8583993264
24.0333,42.30066736,-70.91936714,1396.687221,0.8,1.525902189e-05,-0.0001734103437,61.99016835,0.5302740726
25.0167,42.30093045,-70.91968031,1397.542157,0.8,0.04298466444,-0.0001915437479,62.03748003,0.3526449161
26.0083,42.30114699,-70.91994924,1398.002325,0.8,0.4843976498,-0.0001915437479,62.1573015,-0.01524526801
27.0167,42.30136228,-70.92023346,1398.069497,0.8,1.525902189e-05,-1.076292495e-05,62.09992573,-0.130422954
28.0167,42.30157391,-70.92052048,1398.449552,0.8,0.3711146712,-6.968600994e-06,62.0342201,0.2675628847
29.0167,42.30178195,-70.92081568,1398.812801,0.8,1.525902189e-05,-4.325217618e-05,62.08489737,-0.1367626647
30.0083,42.30198756,-70.92111651,1399.079032,0.8,0.04689097404,0.03593406551,61.87504579,0.2921696128
31.0167,42.30219378,-70.92141927,1399.73464,0.8,0.07032883167,0.02453416419,61.84969563,0.4202134239
32.0167,42.30239716,-70.9217285,1400.243475,0.8,0.03126573563,0.002124980044,61.96364174,-0.06390830179
33.0083,42.30259332,-70.92204537,1399.984173,0.8,1.525902189e-05,-0.0001405708959,62.31490327,-0.7789503371
34.0083,42.30278744,-70.92237218,1399.560647,0.8,0.2422064543,-0.0001561784873,62.52446743,-0.4967315446
35.0167,42.30298206,-70.92270557,1399.510175,0.8,0.2929884791,-0.0001111756062,62.74978404,-0.005194402171
36.0167,42.30317709,-70.9230364,1399.988941,0.8,1.525902189e-05,0.004144503004,62.97071457,0.4597737747
37.0083,42.30337575,-70.92336199,1400.440549,0.8,1.525902189e-05,0.003686390067,63.49061129,-0.2789003983
38.0083,42.30357933,-70.92369315,1399.396861,0.8,1.525902189e-05,0.004729644767,64.45614787,-2.6660152
39.0083,42.30378883,-70.92402756,1395.531364,0.8,0.07814145088,0.004629438342,65.88970463,-5.699421855
40.0167,42.30400917,-70.9243697,1388.467567,0.8,1.525902189e-05,0.004239343855,68.07194089,-8.896804551
41.0083,42.3042349,-70.92471469,1378.522881,0.8,1.525902189e-05,0.004530305847,70.57153239,-11.53826519
42.0083,42.30447159,-70.92507347,1366.322985,0.8,1.525902189e-05,-2.137660306e-05,73.14977115,-12.22395853
43.0167,42.30472183,-70.92544143,1356.895497,0.8,1.525902189e-05,0.00180075813,75.0107833,-8.838522504
44.0083,42.30497621,-70.92580989,1349.371465,0.8,0.1054856181,0.001391909937,76.75005668,-7.521127459
45.0167,42.30524012,-70.92619286,1342.781732,0.8,1.525902189e-05,0.001447098073,78.24802834,-6.506097907
46.0083,42.30550654,-70.92657395,1337.360315,0.8,1.525902189e-05,0.006245183838,79.58801826,-4.525287662
47.0167,42.30577943,-70.92696876,1334.97122,0.8,0.03907835484,0.005902721773,80.48679715,-2.22628601
48.0167,42.30604947,-70.9273691,1333.222546,0.8,0.05079728365,0.005902721773,81.3786339,-1.71943305
49.0167,42.30631953,-70.92777604,1332.447397,0.8,0.04689097404,0.005902721773,82.04644792,-0.4059429989
50.0083,42.30658731,-70.92818471,1333.120883,0.8,1.525902189e-05,0.005902721773,82.56961589,1.134520999
51.0083,42.30685606,-70.92860223,1334.959337,0.8,1.525902189e-05,0.006478856081,83.04579819,0.7782828024
52.0083,42.30712188,-70.92902654,1336.72125,0.8,1.525902189e-05,0.006837410702,83.27628891,2.352445032
53.0167,42.30739044,-70.92945581,1338.719766,0.8,0.195330739,0.006361482907,83.62344687,1.932323134
54.0083,42.307653,-70.92987632,1341.274627,0.8,1.525902189e-05,0.006716819989,83.81148691,2.480981093
55.025,42.30792717,-70.93031121,1342.94107,0.8,1.525902189e-05,0.005902721773,84.31701179,0.9810938762
56.0083,42.30819668,-70.93073655,1345.060563,0.8,1.525902189e-05,0.004729644767,84.57363315,2.263571103
57.0083,42.3084708,-70.93116579,1347.201837,0.8,1.525902189e-05,0.005569917101,84.97203544,1.167521943
58.0083,42.30874305,-70.93159486,1348.438392,0.745,1.525902189e-05,0.008368194056,85.40885341,1.727295024
59.0083,42.30901879,-70.93203421,1351.782215,0.745,0.0117341876,-6.968600994e-06,85.40141271,3.913064216
60.0083,42.30928929,-70.93247178,1356.323463,0.745,1.525902189e-05,-1.561899089e-05,85.08665786,4.95274976
61.0167,42.30955704,-70.93291421,1362.308515,0.745,1.525902189e-05,-2.771351554e-05,84.52285985,5.307125257
62.0083,42.30981494,-70.93335171,1366.817436,0.745,0.1406424046,0.0001726075069,84.17521295,4.212486052
63.0083,42.31006977,-70.93379511,1370.20724,0.745,1.525902189e-05,0.0001042090911,83.77075648,2.513195405
64.0083,42.31032383,-70.93423798,1371.232224,0.701,1.525902189e-05,-0.002124980044,83.85558448,-0.2302595588
65.1917,42.31056199,-70.93466199,1371.702508,0.65425,1.525902189e-05,0.00180075813,83.77030622,0.7105158435
66.0167,42.31081937,-70.93513381,1372.943753,0.65425,1.525902189e-05,-0.0001251011562,83.30004271,1.016360382
67.025,42.31106055,-70.9355881,1374.051408,0.65425,1.525902189e-05,0.005036699491,82.7958166,-0.3519273972
68.0083,42.31129007,-70.93603369,1372.279533,0.65425,1.525902189e-05,0.004729644767,82.68086693,-3.328374274
69.0167,42.31152139,-70.93649845,1369.004765,0.65425,0.2226749063,0.000943497952,82.51106827,-3.330942554
70.0167,42.31174333,-70.93695211,1366.350937,0.65425,0.3008010983,0.0002822461758,81.99917855,-2.489099263
71.0083,42.31196878,-70.93740429,1364.331383,0.65425,0.3398641944,0.004239343855,81.4411562,-2.112647033
72.025,42.31220316,-70.93785012,1362.397818,0.65425,1.525902189e-05,0.1454421055,80.91785263,-2.395713373
73.0083,42.31244527,-70.93826886,1360.276106,0.65425,1.525902189e-05,0.2412505638,80.43815989,-1.941305376
74.0083,42.31270487,-70.93867476,1359.66196,0.65425,1.525902189e-05,0.02736478564,79.42396714,-0.5325468845
75.0083,42.31297854,-70.93906438,1358.679946,0.65425,1.525902189e-05,0.0002822461758,79.02361793,-2.128018825
76.0167,42.31326796,-70.93943163,1356.310416,0.65425,1.525902189e-05,6.417590088e-05,78.83778155,-3.994001327
77.0167,42.31356853,-70.93977056,1351.451284,0.65425,1.525902189e-05,4.629047291e-06,79.07784061,-6.444808567
78.0167,42.31388767,-70.94009673,1344.300601,0.65425,1.525902189e-05,0.0005471894657,79.59052498,-8.559573409
79.0083,42.31421146,-70.9403993,1335.338773,0.65425,1.525902189e-05,0.0008990389798,80.41934418,-10.38220719
80.0083,42.31455627,-70.94069392,1324.75005,0.65425,1.525902189e-05,0.0004187077289,81.08692451,-10.82826029
81.0167,42.31490278,-70.94098189,1314.802557,0.65425,-0.5156481266,0.0003073926537,81.5621752,-10.4373564
82.025,42.31525429,-70.94127511,1304.963597,0.65425,1.525902189e-05,-0.00224768727,82.07752716,-9.766356997
83.0167,42.31559787,-70.94157385,1295.854423,0.65425,1.525902189e-05,0.0002822461758,82.66109564,-9.338876504
84.0167,42.31593954,-70.9418892,1287.39594,0.65425,1.525902189e-05,2.581914753e-05,82.99479769,-8.608693278
85.0083,42.31627351,-70.94222232,1279.463783,0.65425,1.525902189e-05,-0.0002295894226,83.31325519,-7.826087759
86.0167,42.3166009,-70.9425692,1272.642469,0.65425,1.525902189e-05,-0.0001405708959,83.55714,-6.683509826
87.0083,42.3169174,-70.94292801,1266.835122,0.65425,1.525902189e-05,8.317197237e-06,83.69258689,-5.831806707
88,42.31722552,-70.94329861,1262.170344,0.65425,0.04298466444,8.317197237e-06,83.44160207,-4.198347
89,42.31752928,-70.94367996,1258.979138,0.65425,0.4531471729,1.307826353e-05,83.2420467,-3.040056761
90,42.31782559,-70.944068,1256.860628,0.65425,0.3320515752,5.297734361e-05,82.6650907,-1.695501705
91.0083,42.31812311,-70.94446117,1256.159843,0.65425,1.525902189e-05,-0.00224768727,81.9374211,-0.4801326379
92.0083,42.31841262,-70.94483985,1256.137873,0.65425,1.525902189e-05,0.001284752415,81.43262382,-0.9853944572
93,42.31870231,-70.94521476,1255.269731,0.65425,0.0117341876,0.001035634645,81.08726362,-1.411679283
94.0083,42.3189975,-70.94559281,1253.406236,0.65425,0.0117341876,0.001181886558,80.93370187,-2.736824403
95.0083,42.31929274,-70.94596984,1250.549346,0.65425,1.525902189e-05,0.0004187077289,80.90121005,-3.650389032
96.0083,42.319583,-70.94634058,1246.931082,0.65425,1.525902189e-05,0.0002581726142,80.88454277,-4.363706628
97,42.31987745,-70.9467117,1242.739244,0.602,1.525902189e-05,0.01735309262,80.90566975,-4.736462348
98,42.32017106,-70.94707812,1238.110318,0.602,1.525902189e-05,0.01237734789,80.9914244,-5.390281483
99.0083,42.32047115,-70.94744904,1232.670521,0.602,1.525902189e-05,0.02057792156,81.04481428,-6.049426928
100.017,42.32077297,-70.94781764,1226.879126,0.602,1.525902189e-05,0.004729644767,81.01981017,-6.166508347
101.017,42.3210731,-70.94818182,1220.979474,0.602,1.525902189e-05,0.01270543677,81.03360508,-6.385023954
102.008,42.32137419,-70.94854487,1214.857825,0.602,1.525902189e-05,0.007711592277,81.07923975,-6.59115118
103.017,42.32167601,-70.94890725,1208.529749,0.602,1.525902189e-05,0.005353411519,81.13963298,-6.800278546
104.017,42.32197818,-70.94926978,1201.999282,0.602,1.525902189e-05,0.005246767564,81.24262809,-6.992697851
105.008,42.32227808,-70.94962989,1195.365696,0.602,1.525902189e-05,0.005246767564,81.36173323,-7.111531009
106.017,42.32258294,-70.9499972,1188.538622,0.602,1.525902189e-05,0.005246767564,81.48330919,-7.156660746
107,42.32287981,-70.95035703,1181.867101,0.602,1.525902189e-05,0.005246767564,81.60167206,-7.137873501
108,42.32318097,-70.95072498,1175.139377,0.602,1.525902189e-05,0.005246767564,81.70781476,-7.041997175
109,42.32348104,-70.95109528,1168.532556,0.602,1.525902189e-05,0.007456461707,81.79321667,-6.889260295
110.017,42.32378463,-70.95147441,1162.002777,0.602,1.525902189e-05,0.007456461707,81.8493658,-6.678124554
111.017,42.32408145,-70.95185008,1155.79944,0.602,1.525902189e-05,0.007330505158,81.87511452,-6.449325248
112,42.32437119,-70.95222212,1150.245593,0.602,1.525902189e-05,0.005036699491,81.71927914,-5.125536492
113.008,42.32466687,-70.95260819,1147.065126,0.602,1.525902189e-05,0.005036699491,80.96312531,-1.486770331
114,42.32494681,-70.95298012,1148.052312,0.602,1.525902189e-05,0.00395803908,79.61952019,2.527542801
115.017,42.32522946,-70.95336129,1150.151834,0.602,1.525902189e-05,0.004239343855,78.35706359,1.866584234
116.017,42.32550059,-70.95373248,1153.569639,0.602,1.525902189e-05,0.004239343855,76.83002747,3.846541973
117.017,42.3257639,-70.95409904,1158.567515,0.602,1.525902189e-05,0.004239343855,75.10139167,5.470288788
118.017,42.32602122,-70.95445969,1161.887504,0.602,1.525902189e-05,0.003775866822,73.87339018,1.207099003
119.008,42.32627347,-70.95481264,1162.521096,0.602,1.525902189e-05,0.003427969909,73.05229878,-0.6596129996
120.017,42.32652631,-70.95517023,1160.894842,0.602,1.525902189e-05,0.00240367007,72.56772602,-2.534989182
121.008,42.32677341,-70.95552473,1158.955145,0.602,1.525902189e-05,0.002549452581,72.02018032,-2.484940564
122.008,42.32701528,-70.95587662,1155.759919,0.602,1.525902189e-05,0.00601580326,71.79254767,-3.897424054
123.008,42.3272559,-70.95623382,1151.272674,0.547,1.525902189e-05,0.00199207253,71.75584942,-5.56218096
124,42.32749128,-70.95659162,1144.694414,0.547,1.525902189e-05,0.000333612048,71.92380138,-7.941934055
125.008,42.32772705,-70.95695975,1137.404062,0.547,1.525902189e-05,0.004530305847,71.87832313,-6.9442669
126.017,42.3279585,-70.95733125,1131.454202,0.547,1.525902189e-05,-0.0002494215958,71.57184986,-5.522702285
127,42.32818078,-70.95769353,1126.818753,0.547,1.525902189e-05,-0.0001405708959,70.95378329,-4.405035771
128.008,42.32840796,-70.95806038,1123.156254,0.547,1.525902189e-05,-6.223496546e-05,70.23112177,-3.504020702
129,42.3286345,-70.95841697,1120.220362,0.547,0.3320515752,-7.327892526e-05,69.48660825,-2.959694391
130.008,42.32886307,-70.95876563,1117.606232,0.547,1.525902189e-05,5.297734361e-05,68.80895543,-2.844985651
131.008,42.32909601,-70.95910365,1114.907807,0.547,1.525902189e-05,0.008234728413,68.05975197,-3.115162201
132,42.32933127,-70.95942728,1112.001334,0.547,1.525902189e-05,8.9791778e-05,67.3744745,-3.539035485
133.125,42.3295701,-70.95974195,1108.311033,0.547,1.525902189e-05,0.006597300972,66.96565349,-4.454211892
134,42.32981811,-70.96005199,1103.67414,0.547,1.525902189e-05,0.006959075563,66.72480023,-5.375993466
135,42.33006844,-70.96035173,1098.152871,0.547,1.525902189e-05,-0.0003904747354,66.61492841,-6.278920024
136.017,42.33032585,-70.96065192,1091.603152,0.547,1.525902189e-05,0.0156598285,66.70878216,-7.238392644
137.017,42.33058188,-70.96094417,1084.463102,0.547,1.525902189e-05,0.001337794718,66.82398932,-6.916318723
138.008,42.33083783,-70.96123175,1077.788757,0.547,1.525902189e-05,0.001560693093,66.93741615,-7.431670607
139.017,42.33109904,-70.96152394,1070.594539,0.547,1.525902189e-05,0.001678579779,67.09473705,-7.588252907
140,42.33135396,-70.96181021,1063.200789,0.547,1.525902189e-05,0.001181886558,67.31671937,-8.050626515
141.008,42.33161499,-70.96210649,1055.229451,0.547,1.525902189e-05,0.0009890298405,67.58653726,-8.356508429
