Time,Lat,Long,Alt,Throttle,Rudder,Ailerons,Airspeed-kt,Vert-Speed-FPS
1,42.29543423,-70.91265224,1216.402099,0.2,0,0,0,-0
2,42.29574898,-70.91306887,1222.206702,0.2,0,0,100.7910272,12.05745138
3.38333,42.29624362,-70.91371453,1256.824317,0.2,1.525902189e-05,-2.328377491e-10,91.89927707,26.43033856
4.00833,42.29659542,-70.91416238,1294.386431,0.2,1.525902189e-05,-0.0001734103437,83.74581976,28.72849292
5,42.29684038,-70.91446671,1322.091156,0.2,1.525902189e-05,-0.0001734103437,77.90650002,26.13062274
6,42.29707285,-70.91474882,1347.02321,0.8,1.525902189e-05,-0.0001734103437,72.33340679,23.31932911
7.09167,42.29713047,-70.91481763,1353.036616,0.8,1.525902189e-05,-0.0001734103437,70.86893702,22.69027789
8.00833,42.29749045,-70.91523663,1388.864347,0.8,1.525902189e-05,-9.746798193e-05,61.15956081,17.59390091
9.00833,42.29767581,-70.91544505,1403.304037,0.8,1.525902189e-05,-4.325217618e-05,56.65316153,10.75415697
10,42.29786044,-70.91564956,1409.851784,0.8,1.525902189e-05,-2.771351554e-05,55.30770412,1.161572567
11.0917,42.2980223,-70.91583056,1407.463241,0.8,1.525902189e-05,-0.0002295894226,56.57341657,-6.730263084
12.0167,42.29823027,-70.91607435,1396.198384,0.8,1.525902189e-05,5.297734361e-05,59.63860599,-13.88818566
13,42.29842421,-70.91632104,1378.860096,0.8,1.525902189e-05,-4.305169982e-07,63.61629299,-20.68068547
14,42.29862004,-70.91659704,1355.845305,0.8,1.525902189e-05,-4.305169982e-07,68.10367041,-25.57554084
15.0083,42.2988237,-70.91690611,1329.001344,0.8,0.5234302282,-7.327892526e-05,72.56736855,-27.87913462
16.0083,42.29903451,-70.91724222,1300.366883,0.8,0.05470359325,8.9791778e-05,77.1986336,-29.85791377
17,42.29925311,-70.91760387,1270.451421,0.8,1.525902189e-05,4.285169524e-05,81.60549531,-30.84158505
18.0083,42.29948456,-70.91800048,1239.819142,0.8,1.525902189e-05,8.317197237e-06,85.52801572,-29.66674826
19.0083,42.29973127,-70.91840972,1212.621581,0.8,1.525902189e-05,-0.001407895681,88.62374282,-25.30471778
20,42.2999888,-70.91883151,1190.92486,0.8,1.525902189e-05,-0.0006254769467,90.91846582,-18.9676989
21.0083,42.30025638,-70.91927747,1175.602663,0.8,1.525902189e-05,-0.0003403345054,92.45858023,-11.86096936
22.0083,42.30052704,-70.91973059,1162.9384,0.8,1.525902189e-05,-0.0002925934539,93.9272581,-10.98270333
23.0167,42.30080214,-70.92019928,1154.198301,0.8,1.525902189e-05,0.008912788498,94.85488955,-8.121985601
24.0083,42.30107446,-70.92066981,1143.385866,0.8,1.525902189e-05,0.001083312367,96.10856096,-10.14503683
25.0083,42.30135044,-70.92115426,1136.04379,0.756,1.525902189e-05,0.000943497952,96.7305054,-5.806620002
26.0083,42.30162601,-70.92164631,1131.649789,0.756,1.525902189e-05,0.003427969909,96.87343292,-1.83709754
27.0083,42.30189987,-70.92214341,1129.404675,0.756,1.525902189e-05,0.002549452581,96.70104261,-0.7999952453
28.0083,42.30217093,-70.92264369,1129.26529,0.756,1.525902189e-05,0.002932684894,96.25605811,-0.4489614122
29.2083,42.30243717,-70.92314237,1128.456266,0.756,1.525902189e-05,0.0004808027646,95.91616906,-1.504340261
30.0167,42.30270665,-70.92365527,1130.719981,0.6955,0.136736095,0.001503359125,94.88594478,5.487228358
31.0083,42.30296403,-70.92415137,1138.206973,0.6955,1.525902189e-05,0.003775866822,92.75288465,8.772681376
32.0083,42.30322723,-70.92463408,1147.442038,0.6955,1.525902189e-05,0.005036699491,90.71781794,8.633412145
33.0083,42.30348923,-70.92510577,1155.79943,0.6955,1.525902189e-05,0.007971014512,89.07883104,7.01305803
34.0083,42.30375111,-70.92556876,1161.709667,0.6955,1.525902189e-05,0.005679778705,87.84619008,4.572718938
35.0167,42.3040173,-70.92602674,1165.99688,0.6955,1.525902189e-05,0.005679778705,86.97399137,2.915639088
